latitude,longitude,cluster
-6.55158,-43.42298,426
-6.06124,-40.41651,154
-6.66885,-45.97022,547
-6.66755,-45.96047,547
-6.6682,-45.96534,547
-6.6695,-45.97506,547
-6.67015,-45.9799,547
-6.66263,-45.97088,547
-6.66198,-45.966,547
-6.66327,-45.9757,547
-6.66392,-45.98061,547
-6.68467,-46.1848,-1
-6.65018,-46.06837,546
-6.64895,-46.05906,546
-6.64956,-46.06368,546
-6.64335,-46.06473,546
-6.64398,-46.06953,546
-6.64273,-46.06,546
-6.44322,-45.72737,497
-6.44351,-45.72873,497
-6.04318,-43.71963,439
-6.4424,-46.65042,-1
-5.14884,-37.57219,119
-5.31932,-38.89357,172
-6.14424,-44.92169,383
-6.14475,-44.92554,383
-6.14527,-44.92941,383
-6.13895,-44.92604,382
-6.13844,-44.92218,382
-6.13946,-44.92991,382
-6.14409,-44.9218,383
-6.14463,-44.92564,383
-6.14517,-44.92951,383
-6.13882,-44.92612,382
-6.13829,-44.92228,382
-6.13936,-44.92999,382
-5.37196,-39.80838,172
-6.20196,-46.72587,562
-6.20268,-46.73134,562
-5.80071,-43.99616,439
-6.12017,-46.70327,561
-6.12089,-46.70862,561
-5.05295,-39.14941,172
-5.27697,-40.97992,145
-5.24205,-40.99242,145
-5.94288,-46.52101,-1
-5.14713,-40.98489,145
-5.4821,-43.36965,438
-5.52086,-43.64207,438
-4.87425,-39.34703,172
-6.05702,-47.96947,481
-5.99296,-47.64033,481
-5.65166,-45.29223,409
-5.65221,-45.29638,409
-5.64525,-45.28895,430
-5.64471,-45.28489,430
-5.64579,-45.29305,430
-5.64634,-45.2972,430
-5.6469,-45.30143,430
-5.99163,-47.64246,481
-5.05702,-41.10527,145
-5.64614,-45.28835,430
-5.64671,-45.29244,430
-5.64788,-45.30077,430
-5.64085,-45.29325,429
-5.42258,-43.74172,438
-5.64028,-45.28917,429
-5.37105,-43.6418,438
-5.70668,-47.01313,596
-5.70728,-47.01313,596
-5.30065,-44.38529,408
-4.62994,-39.77646,172
-5.4901,-46.00199,496
-4.38223,-38.27687,119
-5.27706,-44.66244,408
-5.27147,-44.66324,408
-5.12149,-43.72638,438
-5.22533,-45.05893,407
-5.21955,-45.05949,407
-4.54601,-40.46822,173
-5.13237,-44.66043,408
-5.29214,-47.3686,746
-5.28783,-47.3686,746
-5.14917,-47.72361,778
-4.87783,-45.79834,804
-4.8812,-45.79755,804
-4.88176,-45.80149,804
-4.87568,-45.80172,804
-5.14727,-47.72604,778
-4.87511,-45.7977,804
-4.5786,-43.88396,437
-4.72521,-45.50204,902
-4.72444,-45.54054,901
-4.72705,-45.50169,902
-4.72658,-45.54023,901
-4.75189,-45.76029,-1
-4.13606,-41.59841,146
-4.1367,-41.60276,146
-4.13287,-41.60774,146
-4.13414,-41.61644,146
-4.71306,-45.65715,900
-4.70593,-45.64937,900
-3.97906,-40.73093,173
-4.59188,-45.12849,-1
-4.65809,-45.60861,926
-4.65217,-45.60928,926
-4.6538,-45.60869,926
-4.60946,-45.63542,939
-4.59066,-45.50255,-1
-4.60358,-45.63638,939
-4.03425,-41.73273,147
-4.03168,-41.74662,147
-4.57411,-45.59782,940
-4.57474,-45.60234,940
-4.56821,-45.59858,940
-4.56884,-45.60311,940
-4.33691,-44.0255,437
-4.33736,-44.02875,437
-4.56055,-45.85096,781
-4.73984,-47.1797,802
-4.55402,-45.84782,781
-4.55455,-45.85173,781
-4.55899,-45.85277,781
-4.55842,-45.84874,781
-4.74119,-47.17983,802
-4.54083,-46.07198,-1
-4.40351,-45.4736,782
-4.40377,-45.47318,782
-4.53836,-46.72478,-1
-4.41363,-45.88046,781
-3.54663,-40.17579,-1
-4.00466,-43.71397,452
-4.00422,-43.7109,452
-4.00084,-43.72394,453
-4.0004,-43.72087,453
-3.99479,-43.71843,453
-4.26274,-45.90622,780
-4.27179,-45.90446,780
-4.2658,-45.90522,780
-4.04574,-44.66764,605
-4.04523,-44.66408,605
-4.03973,-44.66486,605
-4.04025,-44.66842,605
-4.59097,-48.56754,1023
-4.31636,-46.78908,870
-3.99777,-44.60598,605
-3.96367,-44.71799,606
-3.96419,-44.72155,606
-4.25161,-46.848,870
-4.25234,-46.85312,870
-3.6886,-43.00863,-1
-4.41294,-48.55578,-1
-3.81713,-44.37213,581
-4.05773,-46.23357,698
-4.05838,-46.23809,698
-4.05226,-46.23878,698
-4.05293,-46.24345,698
-4.05423,-46.25259,698
-4.40326,-48.78058,1036
-4.2742,-47.90471,-1
-3.83465,-44.95856,-1
-4.33333,-48.58777,1048
-4.23862,-48.09991,988
-4.267,-48.36192,997
-4.28576,-48.55443,1058
-4.23877,-48.1019,988
-4.2689,-48.36358,997
-4.288,-48.54926,1058
-4.28891,-48.55574,1058
-4.24853,-48.57466,1069
-4.2495,-48.58167,1069
-3.68525,-44.61477,581
-3.67981,-44.6156,581
-3.68031,-44.61911,581
-4.21508,-48.59234,1125
-4.21412,-48.58532,1111
-4.21603,-48.59934,1118
-4.20615,-48.57941,1101
-4.20799,-48.59304,1125
-4.20893,-48.59992,1124
-4.2071,-48.58646,1111
-4.06149,-47.61853,962
-4.06228,-47.62433,962
-4.05488,-47.61963,962
-4.21742,-48.59369,1125
-4.20837,-48.58057,1101
-4.21032,-48.59428,1125
-4.20937,-48.58759,1111
-4.06412,-47.62051,962
-4.05669,-47.61588,962
-4.05752,-47.62164,962
-4.18118,-48.59125,1079
-4.17417,-48.5924,1079
-4.08825,-48.0316,-1
-3.68263,-45.42844,582
-4.13617,-48.84021,987
-4.1315,-48.9286,987
-3.5989,-45.46055,582
-3.52432,-45.14012,594
-3.93471,-48.131,1026
-3.52637,-45.13837,594
-3.94012,-48.12913,1025
-3.94092,-48.13466,1025
-3.74167,-47.16763,963
-3.7655,-47.47755,963
-3.37516,-45.30286,595
-3.37571,-45.3067,595
-3.45792,-46.13191,619
-3.45855,-46.1364,619
-2.8876,-42.25025,155
-2.88715,-42.24879,155
-3.45599,-46.13593,619
-3.44332,-46.13309,619
-3.35385,-46.36872,620
-3.35449,-46.37331,620
-3.35513,-46.37789,620
-3.31706,-45.99499,619
-3.35428,-46.37229,620
-3.35361,-46.36769,620
-3.35495,-46.37685,620
-2.88615,-45.26305,607
-3.44475,-49.25353,1190
-2.88835,-45.26318,607
-3.44297,-49.2549,1190
-2.94084,-45.89451,609
-3.29915,-48.80717,1259
-3.3026,-48.80844,1259
-3.05484,-47.76829,979
-3.17217,-48.69812,1261
-3.15819,-48.70012,1261
-3.05665,-47.76775,979
-3.16728,-48.70385,1261
-3.16631,-48.69723,1261
-2.64589,-45.25818,608
-2.64029,-45.25899,608
-2.84958,-46.67711,801
-2.84342,-46.67797,801
-3.0162,-48.09645,985
-2.54026,-45.69687,609
-2.53927,-45.69674,609
-2.59165,-46.04238,609
-2.62349,-46.83961,898
-2.62771,-46.8687,897
-2.62839,-46.87339,897
-2.62422,-46.84464,898
-2.6208,-46.86478,896
-2.60837,-46.91073,846
-2.93336,-49.40047,-1
-2.61659,-46.86415,896
-2.61132,-46.91329,846
-2.61066,-46.9089,846
-2.61204,-46.91801,846
-2.60444,-46.90983,846
-2.60515,-46.91454,846
-2.71579,-48.34754,1191
-2.72122,-48.34886,1191
-2.18788,-45.12225,645
-2.18841,-45.12583,645
-2.18236,-45.12302,645
-2.5202,-47.40598,994
-2.18289,-45.12662,645
-2.76947,-49.25754,1426
-2.76726,-49.25595,1426
-2.73485,-49.38373,1461
-2.2177,-46.44779,777
-2.39719,-47.78608,1170
-2.22144,-46.44635,777
-2.3985,-47.78839,1170
-2.04229,-45.45998,685
-1.97086,-45.42488,685
-1.95527,-45.74205,686
-2.11351,-46.84576,820
-1.89191,-45.62855,686
-1.89247,-45.63236,686
-1.88566,-45.62543,686
-1.88623,-45.6293,686
-1.88679,-45.63314,686
-1.88882,-45.62529,686
-1.88941,-45.62912,686
-1.88999,-45.63294,686
-1.88312,-45.62598,686
-1.94971,-46.46114,-1
-2.16606,-48.10194,1488
-2.12195,-48.07891,1489
-1.92251,-46.73926,820
-1.92318,-46.74392,820
-2.16295,-48.10218,1488
-1.92297,-46.74056,820
-2.11866,-48.0791,1489
-1.80643,-46.05111,687
-2.29424,-49.64682,1295
-1.75765,-46.08359,687
-1.75826,-46.08768,687
-2.07017,-48.30561,1476
-2.07105,-48.31163,1476
-2.29334,-49.64843,1295
-2.06778,-48.30865,1476
-1.79944,-46.67018,820
-2.05199,-48.43277,1442
-2.05288,-48.43872,1442
-1.6814,-46.12836,688
-1.67555,-46.1292,688
-1.89675,-48.28147,1424
-1.81478,-47.91061,1350
-1.81559,-47.9161,1350
-1.86114,-48.41351,1402
-1.862,-48.41947,1402
-1.69449,-47.31301,822
-1.8161,-47.91277,1350
-1.80954,-47.91364,1350
-1.86586,-48.41462,1402
-1.86678,-48.42064,1402
-1.85911,-48.41564,1402
-1.86001,-48.42159,1402
-1.75876,-48.24976,1458
-1.75961,-48.25554,1458
-1.75915,-48.18148,-1
-1.76321,-48.25171,1458
-1.3507,-45.7781,-1
-1.64718,-47.93428,1349
-1.64064,-47.93527,1349
-1.6682,-48.1189,-1
-1.66962,-48.2649,1425
-1.66585,-48.26487,1425
-1.35231,-46.68645,-1
-1.5944,-48.56525,-1
-1.4585,-47.65322,1238
-1.39068,-47.55242,1238
-1.39147,-47.55758,1238
-1.1933,-47.37858,1141
-1.19023,-47.37762,1141
-1.04799,-47.65162,-1
-1.02341,-48.05379,1172
-0.9817,-47.91051,1172
-0.89903,-47.76424,1171
-0.89823,-47.75907,1171
-0.78595,-47.84283,1171
-0.89554,-48.73714,689
-0.89646,-48.74321,689
-0.89412,-48.73931,689
-0.89509,-48.74537,689
-0.77649,-48.56106,690
0.01506,-49.44456,410
0.11499,-49.82159,384
0.92482,-50.20076,411
0.92369,-50.20792,411
0.92904,-50.26818,412
0.92968,-50.26968,412
1.69303,-50.57254,612
1.69423,-50.56518,612
1.70271,-50.55893,612
1.70152,-50.56628,612
1.69487,-50.56283,612
1.69363,-50.57018,612
1.70339,-50.5566,612
1.70216,-50.5639,612
1.77738,-50.56065,611
1.81863,-50.58241,636
1.81982,-50.57504,637
1.81745,-50.58976,623
1.81978,-50.58336,636
1.82101,-50.57602,637
1.81855,-50.59071,623
-38.36306,-68.74535,8
