latitude,longitude,cluster,distance
-9.81834,-35.90131,23,6.0849281757e-05
-9.73917,-35.85466,-1,inf
-10.18256,-39.199,-1,inf
-9.51212,-35.6104,24,6.4553088681e-05
-9.51266,-35.61411,24,6.4553088681e-05
-9.42573,-36.12183,-1,inf
-10.44586,-44.51925,25,6.1436096478e-05
-10.44638,-44.52365,25,6.0941079698e-05
-10.43991,-44.52006,25,4.6445741233e-05
-10.44043,-44.52446,25,4.706294641e-05
-10.44235,-44.51898,25,4.6445741233e-05
-10.4429,-44.52336,25,4.706294641e-05
-10.19342,-42.6624,-1,inf
-10.39037,-44.58813,-1,inf
-9.61057,-40.55945,-1,inf
-8.78096,-35.44468,-1,inf
-8.6592,-35.28236,-1,inf
-8.87893,-38.05093,-1,inf
-9.7536,-44.86546,26,2.4673536984e-05
-8.91696,-38.46182,-1,inf
-9.75235,-44.86479,26,2.4673536984e-05
-8.27889,-35.32948,27,6.2348906093e-05
-8.27942,-35.33305,27,6.2348906093e-05
-8.91416,-40.70258,-1,inf
-8.90966,-40.70322,-1,inf
-8.54822,-40.27695,28,7.6672238986e-05
-8.54387,-40.27757,28,7.6672238986e-05
-7.98259,-38.39462,-1,inf
-7.75144,-37.96081,-1,inf
-8.08431,-40.50677,29,7.3302190102e-05
-8.0849,-40.51097,29,7.3302190102e-05
-7.19307,-35.04309,-1,inf
-7.17603,-35.02061,-1,inf
-7.16901,-34.99662,-1,inf
-7.93634,-40.3772,-1,inf
-7.11726,-34.94729,-1,inf
-7.35348,-38.24649,30,3.5282327473e-05
-7.35309,-38.24449,30,3.5282327473e-05
-6.79826,-35.26942,-1,inf
-7.47271,-40.04097,31,6.8168947329e-05
-7.47326,-40.04487,31,6.8168947329e-05
-7.4685,-40.04155,31,7.4160708224e-05
-7.35105,-39.33226,-1,inf
-7.03385,-37.89785,-1,inf
-7.14061,-39.68778,-1,inf
-6.60868,-36.44429,-1,inf
-7.25656,-41.5485,-1,inf
-7.13716,-41.35893,-1,inf
-6.36318,-38.34481,-1,inf
-7.1717,-44.27342,-1,inf
-7.25956,-44.93446,-1,inf
-7.16615,-44.27451,32,7.0569356084e-05
-7.16668,-44.27855,32,7.0569356084e-05
-6.94112,-42.75803,-1,inf
-6.37725,-38.92793,33,5.407769688e-05
-6.37671,-38.931,33,5.407769688e-05
-6.72399,-43.76287,34,5.061569882e-05
-6.72444,-43.76629,34,5.9797690994e-05
-6.72149,-43.76435,34,5.061569882e-05
-6.97073,-45.85833,-1,inf
-6.9701,-45.8536,-1,inf
-6.63199,-43.46865,-1,inf
-6.12461,-39.98388,-1,inf
-6.55158,-43.42298,-1,inf
-6.06124,-40.41651,-1,inf
-6.66885,-45.97022,-1,inf
-6.66755,-45.96047,-1,inf
-6.6682,-45.96534,-1,inf
-6.6695,-45.97506,35,5.9146491684e-05
-6.67015,-45.9799,35,3.9743059032e-05
-6.66263,-45.97088,-1,inf
-6.66198,-45.966,-1,inf
-6.66327,-45.9757,-1,inf
-6.66392,-45.98061,-1,inf
-6.68467,-46.1848,-1,inf
-6.65018,-46.06837,-1,inf
-6.64895,-46.05906,-1,inf
-6.64956,-46.06368,-1,inf
-6.64335,-46.06473,-1,inf
-6.64398,-46.06953,-1,inf
-6.64273,-46.06,-1,inf
-6.44322,-45.72737,36,2.4123499634e-05
-6.44351,-45.72873,36,2.4123499634e-05
-6.04318,-43.71963,-1,inf
-6.4424,-46.65042,-1,inf
-5.14884,-37.57219,-1,inf
-5.31932,-38.89357,-1,inf
-6.14424,-44.92169,37,3.239990606e-06
-6.14475,-44.92554,37,2.719883006e-06
-6.14527,-44.92941,37,2.461186893e-06
-6.13895,-44.92604,38,2.659941909e-06
-6.13844,-44.92218,38,3.140897357e-06
-6.13946,-44.92991,38,2.23011815e-06
-6.14409,-44.9218,37,3.239990606e-06
-6.14463,-44.92564,37,2.719883006e-06
-6.14517,-44.92951,37,2.461186893e-06
-6.13882,-44.92612,38,2.659941909e-06
-6.13829,-44.92228,38,3.140897357e-06
