latitude,longitude,cluster
-6.4424,-46.65042,-1
-5.14884,-37.57219,-1
-5.31932,-38.89357,-1
-6.14424,-44.92169,37
-6.14475,-44.92554,37
-6.14527,-44.92941,37
-6.13895,-44.92604,38
-6.13844,-44.92218,38
-6.13946,-44.92991,38
-6.14409,-44.9218,37
-6.14463,-44.92564,37
-6.14517,-44.92951,37
-6.13882,-44.92612,38
-6.13829,-44.92228,38
-6.13936,-44.92999,38
-5.37196,-39.80838,-1
-6.20196,-46.72587,-1
-6.20268,-46.73134,-1
-5.80071,-43.99616,-1
-6.12017,-46.70327,-1
-6.12089,-46.70862,-1
-5.05295,-39.14941,-1
-5.27697,-40.97992,-1
-5.24205,-40.99242,-1
-5.94288,-46.52101,-1
-5.14713,-40.98489,-1
-5.4821,-43.36965,-1
-5.52086,-43.64207,-1
-4.87425,-39.34703,-1
-6.05702,-47.96947,-1
-5.99296,-47.64033,39
-5.65166,-45.29223,40
-5.65221,-45.29638,40
-5.64525,-45.28895,41
-5.64471,-45.28489,41
-5.64579,-45.29305,41
-5.64634,-45.2972,41
-5.6469,-45.30143,41
-5.99163,-47.64246,39
-5.05702,-41.10527,-1
-5.64614,-45.28835,41
-5.64671,-45.29244,41
-5.64788,-45.30077,41
-5.64085,-45.29325,42
-5.42258,-43.74172,-1
-5.64028,-45.28917,42
-5.37105,-43.6418,-1
-5.70668,-47.01313,43
-5.70728,-47.01313,43
-5.30065,-44.38529,-1
-4.62994,-39.77646,-1
-5.4901,-46.00199,-1
-4.38223,-38.27687,-1
-5.27706,-44.66244,-1
-5.27147,-44.66324,-1
-5.12149,-43.72638,-1
-5.22533,-45.05893,-1
-5.21955,-45.05949,-1
-4.54601,-40.46822,-1
-5.13237,-44.66043,-1
-5.29214,-47.3686,44
-5.28783,-47.3686,44
-5.14917,-47.72361,45
-4.87783,-45.79834,46
-4.8812,-45.79755,46
-4.88176,-45.80149,46
-4.87568,-45.80172,46
-5.14727,-47.72604,45
-4.87511,-45.7977,46
-4.5786,-43.88396,-1
-4.72521,-45.50204,47
-4.72444,-45.54054,48
-4.72705,-45.50169,47
-4.72658,-45.54023,48
-4.75189,-45.76029,-1
-4.13606,-41.59841,49
-4.1367,-41.60276,49
-4.13287,-41.60774,-1
-4.13414,-41.61644,-1
-4.71306,-45.65715,-1
-4.70593,-45.64937,-1
-3.97906,-40.73093,-1
-4.59188,-45.12849,-1
-4.65809,-45.60861,50
-4.65217,-45.60928,50
-4.6538,-45.60869,50
-4.60946,-45.63542,-1
-4.59066,-45.50255,-1
-4.60358,-45.63638,-1
-4.03425,-41.73273,-1
-4.03168,-41.74662,-1
-4.57411,-45.59782,-1
-4.57474,-45.60234,-1
-4.56821,-45.59858,-1
-4.56884,-45.60311,-1
-4.33691,-44.0255,51
-4.33736,-44.02875,51
-4.56055,-45.85096,52
-4.73984,-47.1797,53
-4.55402,-45.84782,52
-4.55455,-45.85173,52
-4.55899,-45.85277,52
-4.55842,-45.84874,52
-4.74119,-47.17983,53
-4.54083,-46.07198,-1
-4.40351,-45.4736,54
-4.40377,-45.47318,54
-4.53836,-46.72478,-1
-4.41363,-45.88046,-1
-3.54663,-40.17579,-1
-4.00466,-43.71397,55
-4.00422,-43.7109,55
-4.00084,-43.72394,56
-4.0004,-43.72087,56
-3.99479,-43.71843,-1
-4.26274,-45.90622,57
-4.27179,-45.90446,-1
-4.2658,-45.90522,57
-4.04574,-44.66764,58
-4.04523,-44.66408,58
-4.03973,-44.66486,59
-4.04025,-44.66842,59
-4.59097,-48.56754,60
-4.31636,-46.78908,-1
-3.99777,-44.60598,-1
-3.96367,-44.71799,61
-3.96419,-44.72155,61
-4.25161,-46.848,-1
-4.25234,-46.85312,62
-3.6886,-43.00863,-1
-4.41294,-48.55578,-1
-3.81713,-44.37213,-1
-4.05773,-46.23357,-1
-4.05838,-46.23809,-1
-4.05226,-46.23878,-1
-4.05293,-46.24345,-1
-4.05423,-46.25259,-1
-4.40326,-48.78058,-1
-4.2742,-47.90471,-1
-3.83465,-44.95856,-1
-4.33333,-48.58777,-1
-4.23862,-48.09991,63
-4.267,-48.36192,64
-4.28576,-48.55443,65
-4.23877,-48.1019,63
-4.2689,-48.36358,64
-4.288,-48.54926,65
-4.28891,-48.55574,65
-4.24853,-48.57466,66
-4.2495,-48.58167,66
-3.68525,-44.61477,-1
-3.67981,-44.6156,67
-3.68031,-44.61911,67
-4.21508,-48.59234,68
-4.21412,-48.58532,-1
-4.21603,-48.59934,69
-4.20615,-48.57941,70
-4.20799,-48.59304,68
-4.20893,-48.59992,71
-4.2071,-48.58646,72
-4.06149,-47.61853,73
-4.06228,-47.62433,73
-4.05488,-47.61963,74
-4.21742,-48.59369,68
-4.20837,-48.58057,70
-4.21032,-48.59428,68
-4.20937,-48.58759,72
-4.06412,-47.62051,73
-4.05669,-47.61588,74
-4.05752,-47.62164,74
-4.18118,-48.59125,-1
-4.17417,-48.5924,-1
-4.08825,-48.0316,-1
-3.68263,-45.42844,-1
-4.13617,-48.84021,-1
-4.1315,-48.9286,-1
-3.5989,-45.46055,-1
-3.52432,-45.14012,75
-3.93471,-48.131,76
-3.52637,-45.13837,75
-3.94012,-48.12913,-1
-3.94092,-48.13466,-1
-3.74167,-47.16763,-1
-3.7655,-47.47755,-1
-3.37516,-45.30286,77
-3.37571,-45.3067,77
-3.45792,-46.13191,78
-3.45855,-46.1364,78
-2.8876,-42.25025,79
-2.88715,-42.24879,79
-3.45599,-46.13593,78
-3.44332,-46.13309,-1
-3.35385,-46.36872,80
-3.35449,-46.37331,80
-3.35513,-46.37789,80
-3.31706,-45.99499,-1
-3.35428,-46.37229,80
-3.35361,-46.36769,80
-3.35495,-46.37685,80
-2.88615,-45.26305,81
-3.44475,-49.25353,82
-2.88835,-45.26318,81
-3.44297,-49.2549,82
-2.94084,-45.89451,-1
-3.29915,-48.80717,83
-3.3026,-48.80844,83
-3.05484,-47.76829,84
-3.17217,-48.69812,-1
-3.15819,-48.70012,-1
-3.05665,-47.76775,84
-3.16728,-48.70385,-1
-3.16631,-48.69723,-1
-2.64589,-45.25818,-1
-2.64029,-45.25899,-1
-2.84958,-46.67711,-1
-2.84342,-46.67797,-1
-3.0162,-48.09645,-1
-2.54026,-45.69687,85
-2.53927,-45.69674,85
-2.59165,-46.04238,-1
-2.62349,-46.83961,86
-2.62771,-46.8687,87
-2.62839,-46.87339,-1
-2.62422,-46.84464,-1
-2.6208,-46.86478,88
-2.60837,-46.91073,89
-2.93336,-49.40047,-1
-2.61659,-46.86415,88
-2.61132,-46.91329,89
-2.61066,-46.9089,89
-2.61204,-46.91801,-1
-2.60444,-46.90983,89
-2.60515,-46.91454,-1
-2.71579,-48.34754,-1
-2.72122,-48.34886,-1
-2.18788,-45.12225,90
